imei,start_time,end_time,avg_speed,max_speed,engine_duration,idle_duration,stop_duration,starting_satellite,ending_satellite
352093080608325,"2023-06-03 00:01:15","2023-06-03 23:56:15",0,0,NULL,NULL,NULL,19,19
352093080608325,"2023-06-03 00:01:15","2023-06-03 23:56:15",0,0,00:00:00,00:00:00,23:55:00,19,19
352093080617946,"2023-06-03 00:01:39","2023-06-03 23:56:39",0,0,00:00:00,00:00:00,23:55:00,17,16
352093080620536,"2023-06-03 06:17:46","2023-06-03 23:57:34",0.0948012,17,00:52:13,00:00:18,16:47:17,4,17
352093080643660,"2023-06-03 00:00:41","2023-06-03 23:56:32",0,0,00:06:43,00:00:00,23:49:08,18,20
352093080736357,"2023-06-03 00:03:03","2023-06-03 23:55:23",33.8832,118,12:27:42,01:53:20,09:31:18,10,14
352093080740813,"2023-06-03 00:00:06","2023-06-03 23:55:14",13.1311,94,07:18:33,00:33:22,16:03:13,19,19
352093080741548,"2023-06-03 00:03:15","2023-06-03 23:57:59",11.7829,105,03:57:04,01:56:52,18:00:48,17,17
352093080741597,"2023-06-03 00:04:54","2023-06-03 23:59:48",23.287,98,09:33:04,00:51:49,13:30:01,18,18
352093080992554,"2023-06-03 00:01:45","2023-06-03 23:58:27",15.1157,97,08:54:56,00:36:29,14:25:17,11,18
352093081116708,"2023-06-03 00:01:22","2023-06-03 23:56:29",0,0,00:05:07,00:00:00,23:50:00,16,15
352093080608325,"2023-06-03 00:01:15","2023-06-03 23:56:15",0,0,00:00:00,00:00:00,23:55:00,19,19
352093081135716,"2023-06-03 00:01:46","2023-06-03 23:59:29",23.1486,118,03:12:54,00:10:02,20:34:47,17,17
352093081148362,"2023-06-03 00:03:29","2023-06-03 23:58:30",0,0,00:00:00,00:00:00,23:55:01,12,11
352093081237470,"2023-06-03 00:03:56","2023-06-03 23:57:27",8.5625,90,06:41:50,01:16:41,15:55:00,20,20
352093081589961,"2023-06-03 00:02:35","2023-06-03 23:56:46",7.07122,109,02:39:49,00:02:21,21:12:01,12,14
352093081682337,"2023-06-03 00:02:41","2023-06-03 23:56:12",19.8931,96,08:25:05,00:00:52,15:27:34,18,21
352093081682592,"2023-06-03 00:01:36","2023-06-03 23:58:12",37.2547,117,09:26:03,00:25:33,14:05:00,16,15
352093081743774,"2023-06-03 00:01:09","2023-06-03 23:56:09",0,0,00:00:00,00:00:00,23:55:00,19,19
352093081861311,"2023-06-03 00:02:45","2023-06-03 23:59:12",20.1495,106,08:25:18,00:00:00,15:31:09,15,15
